,title,release_date,budget,revenue,runtime,rating,vote_count,language
893,From Paris with Love,2/5/2010,52000000.0,52826594.0,92.0,6.1,675.0,English
895,"Me, Myself & Irene",6/22/2000,51000000.0,149270999.0,116.0,6.1,927.0,English
896,Barnyard,8/4/2006,51000000.0,72779000.0,90.0,5.3,225.0,English
898,The Twilight Saga: New Moon,3/15/2009,50000000.0,709827462.0,130.0,5.6,2436.0,English
899,Shrek,5/16/2001,60000000.0,484409218.0,90.0,7.3,4056.0,English
900,The Adjustment Bureau,3/3/2011,50200000.0,127869379.0,106.0,6.5,1652.0,English
901,Robin Hood: Prince of Thieves,6/14/1991,48000000.0,390493908.0,143.0,6.6,909.0,English
902,Jerry Maguire,12/6/1996,50000000.0,273552592.0,139.0,6.7,913.0,English
903,Ted,6/29/2012,50000000.0,549368315.0,106.0,6.3,4697.0,English
904,As Good as It Gets,12/19/1997,50000000.0,314178011.0,139.0,7.2,915.0,English
905,Patch Adams,12/25/1998,50000000.0,202292902.0,115.0,7.0,832.0,English
906,Anchorman 2: The Legend Continues,12/18/2013,50000000.0,173649015.0,119.0,6.0,923.0,English
907,Mr. Deeds,6/28/2002,50000000.0,171269535.0,96.0,5.6,644.0,English
908,Super 8,6/8/2011,50000000.0,260095987.0,112.0,6.6,2435.0,English
909,Erin Brockovich,3/17/2000,52000000.0,256271286.0,131.0,7.1,716.0,English
910,How to Lose a Guy in 10 Days,2/7/2003,50000000.0,177371441.0,116.0,6.3,850.0,English
911,22 Jump Street,6/5/2014,50000000.0,188441614.0,112.0,7.0,3319.0,English
912,Interview with the Vampire,11/11/1994,60000000.0,223664608.0,123.0,7.2,1516.0,English
913,Yes Man,12/9/2008,70000000.0,225990978.0,104.0,6.4,1813.0,English
914,Central Intelligence,6/15/2016,50000000.0,216972543.0,107.0,6.2,1650.0,English
916,Daddy's Home,12/25/2015,50000000.0,242786137.0,96.0,5.8,854.0,English
917,Into the Woods,12/25/2014,50000000.0,212902372.0,125.0,5.6,1652.0,English
918,Inside Man,3/23/2006,45000000.0,184376254.0,129.0,7.3,1630.0,English
919,Payback,2/5/1999,90000000.0,161626121.0,100.0,6.7,548.0,English
920,Congo,6/9/1995,50000000.0,152022101.0,109.0,5.0,213.0,English
921,We Bought a Zoo,12/22/2011,50000000.0,120081841.0,124.0,6.5,909.0,English
922,Knowing,3/19/2009,50000000.0,155446362.0,121.0,5.9,1486.0,English
923,Failure to Launch,3/10/2006,50000000.0,88715192.0,97.0,5.5,399.0,English
924,The Ring Two,3/17/2005,50000000.0,161451538.0,110.0,5.4,632.0,English
925,"Crazy, Stupid, Love.",7/29/2011,50000000.0,142851197.0,118.0,7.0,2443.0,English
926,Garfield,6/10/2004,50000000.0,200804534.0,80.0,5.2,820.0,English
928,Moneyball,9/22/2011,50000000.0,110206216.0,133.0,7.0,1381.0,English
929,Outbreak,3/10/1995,50000000.0,189859560.0,127.0,6.3,513.0,English
930,Non-Stop,1/26/2014,50000000.0,222809600.0,106.0,6.8,2268.0,English
931,Race to Witch Mountain,3/12/2009,50000000.0,106303988.0,98.0,5.5,509.0,English
932,V for Vendetta,3/15/2006,54000000.0,132511035.0,132.0,7.7,4442.0,English
933,Shanghai Knights,2/6/2003,50000000.0,88323487.0,115.0,6.0,692.0,English
934,Curious George,2/10/2006,50000000.0,69834815.0,86.0,6.2,106.0,English
935,Herbie Fully Loaded,6/22/2005,50000000.0,66002004.0,101.0,5.1,542.0,English
936,Don't Say a Word,9/28/2001,50000000.0,100020092.0,113.0,6.0,220.0,English
937,Hansel & Gretel: Witch Hunters,1/17/2013,50000000.0,224803475.0,88.0,5.7,3239.0,English
938,Unfaithful,5/10/2002,50000000.0,119137784.0,124.0,6.3,276.0,English
939,I Am Number Four,2/18/2011,50000000.0,144492830.0,109.0,5.9,1567.0,English
940,Syriana,11/23/2005,50000000.0,94000000.0,128.0,6.3,451.0,English
941,13 Hours: The Secret Soldiers of Benghazi,1/13/2016,50000000.0,69411370.0,144.0,7.0,938.0,English
942,The Book of Life,10/1/2014,50000000.0,97437106.0,95.0,7.3,755.0,English
943,Firewall,2/10/2006,45000000.0,82800000.0,105.0,5.6,267.0,English
944,Absolute Power,2/14/1997,50000000.0,50068310.0,121.0,6.4,223.0,English
945,G.I. Jane,8/22/1997,50000000.0,48169156.0,125.0,6.0,395.0,English
946,The Game,9/12/1997,50000000.0,109423648.0,129.0,7.5,1506.0,English
947,Silent Hill,4/21/2006,50000000.0,97607453.0,125.0,6.3,1067.0,English
949,American Reunion,4/4/2012,50000000.0,234989584.0,113.0,6.1,1611.0,English
950,The Negotiator,7/29/1998,50000000.0,44547681.0,140.0,6.8,582.0,English
951,Into the Storm,8/6/2014,50000000.0,160602194.0,89.0,5.8,817.0,English
952,Beverly Hills Cop III,5/24/1994,50000000.0,119208989.0,104.0,5.5,434.0,English
953,Gremlins 2: The New Batch,6/15/1990,50000000.0,41482207.0,106.0,6.2,652.0,English
954,The Judge,10/8/2014,50000000.0,83719388.0,141.0,7.2,1417.0,English
956,Resident Evil: Apocalypse,9/10/2004,45000000.0,129394835.0,94.0,6.1,1267.0,English
957,Bridget Jones: The Edge of Reason,11/10/2004,50000000.0,40203020.0,108.0,6.1,750.0,English
958,Out of Time,10/3/2003,50000000.0,55495563.0,105.0,6.1,298.0,English
959,On Deadly Ground,2/18/1994,50000000.0,49000000.0,102.0,4.5,104.0,English
960,The Adventures of Sharkboy and Lavagirl,6/10/2005,50000000.0,69425966.0,92.0,4.4,269.0,English
961,The Beach,2/11/2000,40000000.0,144056873.0,119.0,6.3,1233.0,English
962,Raising Helen,5/27/2004,50000000.0,49718611.0,119.0,5.9,189.0,English
963,Ninja Assassin,9/29/2009,40000000.0,60462347.0,99.0,6.2,371.0,English
965,Striptease,6/28/1996,50000000.0,113309743.0,115.0,4.4,205.0,English
966,Marmaduke,6/4/2010,50000000.0,83761844.0,87.0,5.0,149.0,English
967,Hereafter,10/15/2010,50000000.0,105197635.0,129.0,5.8,510.0,English
968,Murder by Numbers,4/19/2002,50000000.0,56714147.0,120.0,6.0,268.0,English
969,Assassins,10/6/1995,50000000.0,30303072.0,132.0,6.0,387.0,English
970,Hannibal Rising,2/6/2007,50000000.0,82169884.0,121.0,6.0,654.0,English
971,The Story of Us,10/13/1999,50000000.0,58900031.0,95.0,5.9,75.0,English
973,Basic,4/18/2003,50000000.0,42792561.0,98.0,6.2,286.0,English
974,Blood Work,8/4/2002,50000000.0,26199517.0,110.0,6.1,206.0,English
975,The International,2/3/2009,50000000.0,60161391.0,118.0,6.0,368.0,English
976,Escape from L.A.,8/9/1996,50000000.0,42277365.0,97.0,5.6,373.0,English
977,The Iron Giant,8/6/1999,70000000.0,23159305.0,86.0,7.6,1436.0,English
978,The Life Aquatic with Steve Zissou,12/10/2004,50000000.0,34808403.0,119.0,7.1,775.0,English
979,Free State of Jones,6/24/2016,50000000.0,25035950.0,139.0,6.6,428.0,English
980,The Life of David Gale,2/21/2003,50000000.0,38955598.0,130.0,7.3,480.0,English
982,Run All Night,3/11/2015,50000000.0,71561644.0,114.0,6.3,1148.0,English
983,Eastern Promises,9/14/2007,51500000.0,55112356.0,100.0,7.2,848.0,English
984,Into the Blue,9/30/2005,50000000.0,44434439.0,110.0,5.8,458.0,English
985,The Messenger: The Story of Joan of Arc,10/18/1999,60000000.0,66976317.0,148.0,6.2,367.0,French
986,Your Highness,4/8/2011,49900000.0,26121638.0,102.0,5.2,501.0,English
987,Dream House,9/30/2011,50000000.0,38502340.0,84.0,5.8,391.0,English
988,Mad City,11/7/1997,50000000.0,10541523.0,114.0,5.9,81.0,English
989,Baby's Day Out,7/1/1994,50000000.0,16671505.0,99.0,5.8,274.0,English
990,The Scarlet Letter,10/13/1995,50000000.0,10382407.0,135.0,5.5,108.0,English
991,Fair Game,5/20/2010,22000000.0,24188922.0,108.0,6.5,235.0,English
992,Domino,9/22/2005,50000000.0,22944502.0,127.0,6.0,444.0,English
993,Jade,10/13/1995,50000000.0,9851610.0,95.0,5.2,44.0,English
994,Gamer,9/3/2009,50000000.0,40828540.0,95.0,5.6,760.0,English
995,Beautiful Creatures,2/13/2013,60000000.0,60052138.0,124.0,5.6,984.0,English
997,Zoolander 2,2/6/2016,50000000.0,55969000.0,100.0,4.7,797.0,English
998,The Big Bounce,1/30/2004,50000000.0,6808550.0,88.0,5.0,76.0,English
1000,Drive Angry,2/24/2011,50000000.0,28931401.0,105.0,5.3,600.0,English
1001,Street Fighter: The Legend of Chun-Li,2/27/2009,50000000.0,12764201.0,97.0,3.9,112.0,English
1002,The One,11/2/2001,49000000.0,72700000.0,87.0,5.7,437.0,English
1003,The Adventures of Ford Fairlane,7/11/1990,49000000.0,20423389.0,104.0,6.2,71.0,English
1004,The Boat That Rocked,4/1/2009,50000000.0,36348784.0,116.0,7.2,666.0,English
1005,Traffic,12/27/2000,48000000.0,207515725.0,147.0,6.9,562.0,English
1006,Indiana Jones and the Last Crusade,5/24/1989,48000000.0,474171806.0,127.0,7.6,3152.0,English
1008,Chappie,3/4/2015,49000000.0,104399548.0,120.0,6.6,3062.0,English
1009,The Bone Collector,11/4/1999,73000000.0,151493655.0,118.0,6.5,826.0,English
1010,Panic Room,3/29/2002,48000000.0,196397415.0,111.0,6.5,1267.0,English
1012,Three Kings,9/27/1999,75000000.0,108000000.0,114.0,6.6,692.0,English
1013,Child 44,3/15/2015,50000000.0,3324330.0,137.0,6.1,547.0,English
1014,Rat Race,7/30/2001,48000000.0,85498534.0,112.0,6.0,518.0,English
1015,K-PAX,10/22/2001,48000000.0,50315140.0,120.0,7.1,695.0,English
1017,Bedazzled,10/19/2000,48000000.0,90383208.0,93.0,5.6,512.0,English
1018,The Cotton Club,12/14/1984,58000000.0,25928721.0,127.0,6.6,68.0,English
1019,3:10 to Yuma,9/6/2007,55000000.0,70016220.0,122.0,6.9,1188.0,English
1020,Taken 3,12/16/2014,48000000.0,325771424.0,109.0,6.1,2200.0,English
1021,Out of Sight,6/26/1998,48000000.0,77745568.0,123.0,6.5,333.0,English
1022,The Cable Guy,6/10/1996,47000000.0,102825796.0,96.0,5.7,594.0,English
1024,Dick Tracy,6/15/1990,47000000.0,103738726.0,103.0,5.9,251.0,English
1025,The Thomas Crown Affair,8/6/1999,48000000.0,124305181.0,113.0,6.6,339.0,English
1026,Riding in Cars with Boys,10/19/2001,48000000.0,35743308.0,132.0,6.5,103.0,English
1027,First Blood,10/22/1982,15000000.0,125212904.0,93.0,7.2,1488.0,English
1029,Happily N'Ever After,9/14/2006,47000000.0,38085778.0,75.0,4.6,104.0,English
1030,Mary Reilly,2/23/1996,47000000.0,12379402.0,104.0,5.7,74.0,English
1031,My Best Friend's Wedding,6/19/1997,38000000.0,299288605.0,105.0,6.3,584.0,English
1033,Insomnia,5/24/2002,46000000.0,113714830.0,118.0,6.8,1148.0,English
1034,Star Trek: First Contact,11/21/1996,46000000.0,150000000.0,111.0,7.0,661.0,English
1035,Jonah Hex,6/18/2010,47000000.0,10539000.0,80.0,4.4,420.0,English
1036,Courage Under Fire,7/4/1996,46000000.0,100860818.0,117.0,6.2,232.0,English
1037,Liar Liar,3/21/1997,45000000.0,181000000.0,86.0,6.4,1424.0,English
1038,The Infiltrator,7/13/2016,25000000.0,15436808.0,127.0,6.6,573.0,English
1039,Inchon,5/4/1981,46000000.0,5200000.0,140.0,6.5,2.0,English
1040,The Flintstones,5/26/1994,46000000.0,341631208.0,91.0,5.0,543.0,English
1041,Taken 2,9/27/2012,45000000.0,376141306.0,91.0,6.1,2757.0,English
1042,Scary Movie 3,10/24/2003,48000000.0,220673217.0,84.0,5.8,912.0,English
1043,Miss Congeniality,12/14/2000,45000000.0,212000000.0,111.0,6.1,961.0,English
1044,Journey to the Center of the Earth,7/10/2008,45000000.0,101702060.0,93.0,5.8,1309.0,English
1045,The Princess Diaries 2: Royal Engagement,8/6/2004,40000000.0,95149435.0,113.0,6.0,697.0,English
1046,The Pelican Brief,12/16/1993,45000000.0,195268056.0,141.0,6.3,371.0,English
1047,The Client,7/20/1994,45000000.0,117615211.0,119.0,6.4,278.0,English
1048,The Bucket List,12/25/2007,45000000.0,175372502.0,97.0,7.0,1111.0,English
1049,Patriot Games,6/4/1992,45000000.0,178051587.0,117.0,6.3,433.0,English
1050,Monster-in-Law,5/13/2005,43000000.0,154749918.0,101.0,5.6,406.0,English
1051,Prisoners,9/18/2013,46000000.0,122126687.0,153.0,7.9,3085.0,English
1052,Training Day,10/5/2001,45000000.0,104876233.0,122.0,7.3,1634.0,English
1053,Galaxy Quest,12/23/1999,45000000.0,90683916.0,102.0,6.9,710.0,English
1054,Scary Movie 2,7/4/2001,45000000.0,141220678.0,83.0,5.4,982.0,English
1055,The Muppets,11/22/2011,45000000.0,165184237.0,103.0,6.5,501.0,English
1056,Blade,8/21/1998,45000000.0,131183530.0,120.0,6.5,1905.0,English
1057,Coach Carter,1/14/2005,30000000.0,76669806.0,136.0,7.3,496.0,English
1058,Changing Lanes,4/7/2002,45000000.0,94935764.0,89.0,5.9,299.0,English
1059,Anaconda,4/11/1997,45000000.0,136885767.0,89.0,4.7,610.0,English
1060,Coyote Ugly,7/30/2000,45000000.0,113916474.0,100.0,5.8,575.0,English
1061,Love Actually,9/7/2003,40000000.0,244931766.0,135.0,7.0,1869.0,English
1062,A Bug's Life,11/25/1998,120000000.0,363258859.0,95.0,6.8,2303.0,English
1063,From Hell,10/19/2001,35000000.0,74558115.0,122.0,6.6,741.0,English
1064,The Specialist,10/7/1994,45000000.0,170362582.0,110.0,5.5,313.0,English
1065,Tin Cup,8/16/1996,45000000.0,53854588.0,135.0,5.9,150.0,English
1067,Kicking & Screaming,5/13/2005,45000000.0,56070433.0,95.0,5.6,176.0,English
1068,The Hitchhiker's Guide to the Galaxy,1/15/2005,50000000.0,104478416.0,109.0,6.6,1315.0,English
1070,Resident Evil: Extinction,9/20/2007,45000000.0,148412065.0,94.0,6.1,1292.0,English
1071,Blended,5/21/2014,40000000.0,123494610.0,117.0,6.6,1006.0,English
1072,Last Holiday,1/13/2006,45000000.0,38399961.0,112.0,6.4,119.0,English
1075,Savages,7/6/2012,45000000.0,82966152.0,131.0,6.2,766.0,English
1076,Cellular,9/6/2004,25000000.0,56422687.0,94.0,6.1,537.0,English
1077,Johnny English,4/6/2003,40000000.0,160583018.0,88.0,6.0,852.0,English
1078,The Ant Bully,7/27/2006,50000000.0,55181129.0,88.0,5.5,366.0,English
1079,Dune,12/14/1984,40000000.0,30925690.0,137.0,6.5,562.0,English
1081,Revolutionary Road,12/19/2008,35000000.0,75225693.0,119.0,6.7,796.0,English
1082,16 Blocks,3/1/2006,55000000.0,65664721.0,105.0,6.2,661.0,English
1083,Babylon A.D.,8/20/2008,70000000.0,72108608.0,101.0,5.4,676.0,English
1086,Aliens in the Attic,7/31/2009,45000000.0,57881056.0,86.0,5.3,244.0,English
1087,The Pledge,1/9/2001,35000000.0,29400000.0,123.0,6.5,215.0,English
1088,The Producers,12/25/2005,45000000.0,38058335.0,134.0,6.1,151.0,English
1089,The Phantom,6/6/1996,45000000.0,17300889.0,100.0,4.7,136.0,English
1091,Nixon,12/22/1995,44000000.0,13681765.0,192.0,7.1,71.0,English
1092,The Ghost Writer,2/12/2010,45000000.0,60222298.0,128.0,6.7,670.0,English
1093,Deep Rising,1/30/1998,45000000.0,11203026.0,106.0,6.0,154.0,English
1094,Miracle at St. Anna,9/15/2008,45000000.0,9323833.0,160.0,6.3,90.0,English
1096,Bangkok Dangerous,8/21/2008,45000000.0,42487390.0,99.0,5.0,332.0,English
1097,Big Trouble,4/5/2002,40000000.0,8493890.0,85.0,6.3,80.0,English
1098,Love in the Time of Cholera,10/4/2007,45000000.0,4607608.0,139.0,6.4,81.0,English
1099,Shadow Conspiracy,1/31/1997,45000000.0,2154540.0,103.0,4.0,11.0,English
1100,Johnny English Reborn,9/15/2011,45000000.0,160078586.0,101.0,6.0,1007.0,English
1101,Foodfight!,6/15/2012,65000000.0,73706.0,87.0,2.3,28.0,English
1102,Argo,10/11/2012,44500000.0,232324128.0,120.0,7.1,3423.0,English
1103,The Fugitive,8/6/1993,44000000.0,368875760.0,130.0,7.2,1220.0,English
1104,The Bounty Hunter,3/16/2010,40000000.0,136000000.0,110.0,5.5,858.0,English
1105,Sleepers,10/18/1996,44000000.0,165615285.0,147.0,7.3,715.0,English
1106,Rambo: First Blood Part II,5/21/1985,44000000.0,300400432.0,96.0,6.3,864.0,English
1108,Pinocchio,2/23/1940,2600000.0,84300000.0,88.0,6.9,1355.0,English
1109,Heaven's Gate,11/19/1980,44000000.0,3484331.0,219.0,6.4,55.0,English
1110,Underworld: Evolution,1/12/2006,50000000.0,111340801.0,106.0,6.4,1528.0,English
1111,Victor Frankenstein,11/10/2015,40000000.0,34227298.0,109.0,5.6,685.0,English
1112,Finding Forrester,12/21/2000,43000000.0,80049764.0,136.0,7.0,302.0,English
1114,Unleashed,2/2/2005,45000000.0,50871113.0,103.0,6.6,518.0,English
1115,The Sweetest Thing,4/12/2002,43000000.0,68696770.0,84.0,5.3,280.0,English
1116,The Firm,6/30/1993,42000000.0,270248367.0,154.0,6.6,501.0,English
1117,Charlie St. Cloud,5/1/2010,44000000.0,48190704.0,99.0,6.8,566.0,English
1118,The Mechanic,1/13/2011,40000000.0,51070807.0,93.0,6.3,1045.0,English
1119,21 Jump Street,3/12/2012,42000000.0,201585328.0,109.0,6.7,4074.0,English
1120,Notting Hill,5/13/1999,42000000.0,363889678.0,124.0,7.0,1262.0,English
1121,Chicken Run,6/21/2000,45000000.0,224834564.0,84.0,6.5,1150.0,English
1122,Along Came Polly,1/16/2004,42000000.0,171963386.0,90.0,5.8,773.0,English
1123,Boomerang,6/30/1992,40000000.0,70100000.0,117.0,5.4,134.0,English
1124,The Heat,6/27/2013,43000000.0,158674180.0,117.0,6.5,1575.0,English
1125,Cleopatra,6/12/1963,31115000.0,71000000.0,248.0,6.7,146.0,English
1127,High Crimes,4/3/2002,42000000.0,63781810.0,115.0,6.1,184.0,English
1129,The Mothman Prophecies,1/25/2002,32000000.0,55157539.0,119.0,6.1,305.0,English
1131,Licence to Kill,7/7/1989,32000000.0,156167015.0,133.0,5.9,541.0,English
1132,Red Riding Hood,3/11/2011,42000000.0,89162162.0,100.0,5.6,922.0,English
1133,15 Minutes,3/1/2001,60000000.0,56359980.0,120.0,5.7,191.0,English
1134,Super Mario Bros.,5/28/1993,48000000.0,20915465.0,104.0,4.0,232.0,English
1135,Lord of War,9/16/2005,42000000.0,24127895.0,122.0,7.0,1335.0,English
1136,Hero,12/19/2002,31000000.0,177394432.0,99.0,7.2,635.0,Chinese
1137,One for the Money,1/26/2012,40000000.0,36893721.0,91.0,5.3,388.0,English
1138,The Interview,12/25/2014,44000000.0,12342632.0,112.0,6.1,2304.0,English
1139,The Warrior's Way,12/2/2010,42000000.0,11087569.0,100.0,6.3,136.0,English
1140,Micmacs,10/28/2009,33000000.0,14000000.0,100.0,6.8,148.0,French
1141,8 Mile,11/8/2002,41000000.0,215000000.0,110.0,6.8,1626.0,English
1143,A Knight's Tale,5/11/2001,65000000.0,117487473.0,132.0,6.6,907.0,English
1145,The Sixth Sense,8/6/1999,40000000.0,672806292.0,107.0,7.7,3147.0,English
1146,Man on a Ledge,1/13/2012,42000000.0,46221189.0,102.0,6.2,925.0,English
1147,The Big Year,10/13/2011,41000000.0,7448385.0,100.0,5.6,248.0,English
1148,The Karate Kid,6/22/1984,8000000.0,90815558.0,126.0,6.9,891.0,English
1149,American Hustle,12/12/2013,40000000.0,251171807.0,138.0,6.8,2807.0,English
1150,The Proposal,6/1/2009,40000000.0,317375031.0,108.0,6.7,1804.0,English
1151,Double Jeopardy,9/24/1999,70000000.0,177841558.0,105.0,6.2,278.0,English
1152,Back to the Future Part II,11/20/1989,40000000.0,332000000.0,108.0,7.4,3829.0,English
1153,Lucy,7/14/2014,40000000.0,126546825.0,89.0,6.3,5878.0,English
1154,Fifty Shades of Grey,2/11/2015,40000000.0,571006128.0,125.0,5.2,3254.0,English
1155,Spy Kids 3-D: Game Over,7/25/2003,38000000.0,197011982.0,84.0,4.7,511.0,English
1156,A Time to Kill,7/24/1996,40000000.0,152266007.0,149.0,7.0,509.0,English
1157,Cheaper by the Dozen,12/24/2003,40000000.0,190212113.0,98.0,6.0,699.0,English
1158,Lone Survivor,12/24/2013,40000000.0,149295601.0,121.0,7.4,1526.0,English
1159,A League of Their Own,7/1/1992,40000000.0,107458785.0,128.0,6.7,354.0,English
1160,The Conjuring 2,5/13/2016,40000000.0,320170008.0,134.0,7.0,1949.0,English
1161,The Social Network,9/30/2010,40000000.0,224920315.0,120.0,7.1,3391.0,English
1162,He's Just Not That Into You,2/6/2009,40000000.0,177259441.0,129.0,6.2,959.0,English
1163,Scary Movie 4,4/13/2006,45000000.0,178262620.0,83.0,5.3,750.0,English
1164,Scream 3,2/3/2000,40000000.0,161834276.0,116.0,5.7,736.0,English
1165,Back to the Future Part III,5/25/1990,40000000.0,244527583.0,118.0,7.1,2900.0,English
1166,Get Hard,3/26/2015,40000000.0,111811453.0,100.0,5.9,944.0,English
1167,Dracula,11/13/1992,40000000.0,215862692.0,128.0,7.1,1056.0,English
1168,Julie & Julia,8/6/2009,40000000.0,129540499.0,123.0,6.6,560.0,English
1169,42,4/12/2013,40000000.0,95020213.0,128.0,6.8,787.0,English
1170,The Talented Mr. Ripley,12/25/1999,40000000.0,128798265.0,139.0,7.0,767.0,English
1171,Dumb and Dumber To,11/12/2014,40000000.0,169837010.0,110.0,5.4,1127.0,English
1172,Eight Below,2/17/2006,40000000.0,120455994.0,120.0,6.7,542.0,English
1173,The Intern,9/24/2015,35000000.0,194564672.0,121.0,7.1,1881.0,English
1174,Ride Along 2,1/14/2016,40000000.0,124827316.0,102.0,6.1,555.0,English
1175,The Last of the Mohicans,9/25/1992,40000000.0,75505856.0,112.0,7.1,732.0,English
1176,Ray,10/29/2004,40000000.0,124731534.0,152.0,7.2,467.0,English
1177,Sin City,4/1/2005,40000000.0,158733820.0,124.0,7.2,2691.0,English
1178,Vantage Point,2/1/2008,40000000.0,151161491.0,90.0,6.2,716.0,English
1179,"I Love You, Man",3/20/2009,41000000.0,91636986.0,105.0,6.5,515.0,English
1180,Shallow Hal,11/1/2001,40000000.0,141069860.0,114.0,5.7,731.0,English
1181,JFK,12/20/1991,40000000.0,205405498.0,189.0,7.5,502.0,English
1182,Big Momma's House 2,1/26/2006,40000000.0,138259062.0,99.0,5.4,371.0,English
1183,The Mexican,3/1/2001,57000000.0,147845033.0,123.0,5.8,441.0,English
1184,17 Again,3/11/2009,20000000.0,136267476.0,102.0,6.1,1350.0,English
1185,The Other Woman,4/16/2014,40000000.0,196781193.0,109.0,6.2,1437.0,English
1186,The Final Destination,8/26/2009,40000000.0,186167139.0,82.0,5.4,831.0,English
1187,Bridge of Spies,10/15/2015,40000000.0,165478348.0,141.0,7.2,2583.0,English
1188,Behind Enemy Lines,11/17/2001,40000000.0,91753202.0,106.0,6.0,457.0,English
1189,Get Him to the Greek,6/4/2010,40000000.0,90029656.0,109.0,5.9,612.0,English
1190,Shall We Dance?,10/15/2004,50000000.0,170128460.0,107.0,5.9,297.0,English
1191,Small Soldiers,7/10/1998,40000000.0,54682547.0,110.0,6.2,511.0,English
1192,Spawn,7/31/1997,40000000.0,87840042.0,96.0,5.0,336.0,English
1193,The Count of Monte Cristo,1/23/2002,35000000.0,75395048.0,131.0,7.3,453.0,English
1194,The Lincoln Lawyer,3/17/2011,40000000.0,85412898.0,119.0,7.0,902.0,English
1195,Unknown,2/16/2011,30000000.0,130786397.0,113.0,6.5,1265.0,English
1196,The Prestige,10/19/2006,40000000.0,109676311.0,130.0,8.0,4391.0,English
1197,Horrible Bosses 2,11/26/2014,42000000.0,107670357.0,108.0,6.1,1536.0,English
1198,Escape from Planet Earth,2/14/2013,40000000.0,74597643.0,89.0,5.7,332.0,English
1199,Apocalypto,12/7/2006,40000000.0,120175290.0,139.0,7.3,1221.0,English
1200,The Living Daylights,6/29/1987,40000000.0,191185897.0,130.0,6.2,440.0,English
1201,Predators,7/3/2010,40000000.0,126248813.0,107.0,6.0,1206.0,English
1203,Secret Window,3/12/2004,40000000.0,92913171.0,96.0,6.4,972.0,English
1204,The Lake House,6/16/2006,40000000.0,114830111.0,99.0,6.5,670.0,English
1205,The Skeleton Key,7/29/2005,43000000.0,91974818.0,104.0,6.4,573.0,English
1207,Made of Honor,5/2/2008,40000000.0,84601681.0,101.0,6.0,394.0,English
1208,Jersey Boys,6/5/2014,40000000.0,67347013.0,134.0,6.8,255.0,English
1209,The Rainmaker,11/18/1997,40000000.0,45916769.0,135.0,6.7,235.0,English
1210,Gothika,11/21/2003,40000000.0,141591324.0,98.0,5.8,629.0,English
1211,Amistad,12/3/1997,36000000.0,74000000.0,155.0,6.8,316.0,English
1213,Aliens vs Predator: Requiem,12/25/2007,40000000.0,41797066.0,94.0,4.9,740.0,English
1216,Music and Lyrics,2/9/2007,40000000.0,145896422.0,96.0,6.2,554.0,English
1217,Paul,2/14/2011,40000000.0,97552050.0,104.0,6.5,1789.0,English
1218,The Guilt Trip,12/19/2012,40000000.0,41863726.0,95.0,5.4,284.0,English
1219,Scream 4,4/11/2011,40000000.0,97138686.0,111.0,6.1,902.0,English
1220,8MM,2/26/1999,40000000.0,96618699.0,123.0,6.1,474.0,English
1221,The Doors,3/1/1991,38000000.0,34416893.0,140.0,6.7,275.0,English
1222,Sex Tape,7/17/2014,40000000.0,126069509.0,97.0,5.3,1695.0,English
1223,Hanging Up,2/16/2000,40000000.0,36037909.0,94.0,5.0,40.0,English
1224,Final Destination 5,8/12/2011,47000000.0,157887643.0,92.0,5.9,866.0,English
1226,Pay It Forward,10/12/2000,40000000.0,55707411.0,122.0,7.0,432.0,English
1227,Fever Pitch,4/6/2005,30000000.0,50451307.0,103.0,5.9,182.0,English
1230,The Shadow,7/1/1994,25000000.0,48063435.0,108.0,5.4,138.0,English
1231,Extremely Loud & Incredibly Close,12/24/2011,40000000.0,55247881.0,129.0,6.9,708.0,English
1232,Morning Glory,1/12/2010,40000000.0,58785180.0,102.0,6.1,412.0,English
1233,Get Rich or Die Tryin',11/9/2005,40000000.0,46442528.0,117.0,6.3,186.0,English
1234,The Art of War,8/23/2000,40000000.0,30199105.0,117.0,5.6,135.0,English
1235,Rent,11/23/2005,40000000.0,31670620.0,135.0,6.7,155.0,English
1237,The Out-of-Towners,4/2/1999,75000000.0,29000000.0,90.0,5.0,45.0,English
1238,The Island of Dr. Moreau,8/23/1996,40000000.0,49627779.0,96.0,4.6,147.0,English
1239,The Musketeer,9/7/2001,40000000.0,27053815.0,104.0,5.2,56.0,English
1241,Sweet November,2/16/2001,40000000.0,65754228.0,119.0,6.4,278.0,English
1242,The Reaping,4/5/2007,40000000.0,62771059.0,99.0,5.4,205.0,English
1243,Mean Streets,10/2/1973,500000.0,3000000.0,110.0,7.2,345.0,English
1244,Renaissance Man,6/3/1994,40000000.0,24332324.0,128.0,5.9,81.0,English
1245,Colombiana,7/27/2011,40000000.0,60965854.0,108.0,6.5,824.0,English
1246,Quest for Camelot,5/15/1998,40000000.0,38172500.0,86.0,6.9,190.0,English
1247,City By The Sea,9/6/2002,40000000.0,22433915.0,108.0,5.7,92.0,English
1249,Torque,1/16/2004,40000000.0,46546197.0,84.0,4.7,119.0,English
1251,Showgirls,9/22/1995,45000000.0,20350754.0,128.0,4.9,256.0,English
1252,Marie Antoinette,5/24/2006,40000000.0,60474340.0,123.0,6.5,642.0,English
1254,Get Carter,10/6/2000,63600000.0,19412993.0,102.0,4.8,145.0,English
1255,The Impossible,9/9/2012,42000000.0,180274123.0,113.0,7.0,2025.0,English
